Site	Subspecies	Common name	Total DNA Concentration (ng/ul)	Endogenous DNA (qPCR - pg/ul)	% Endogenous DNA	Average Fragment Size	Sequencing Batch	Capture Pool	Starting DNA (ug)	Mapped Reads	Percentage Mapped Reads	Unique Reads	Percentage Unique Reads	Reliable Reads	Percentage Reliable Reads	OnTarget Reliable Reads	OnTarget Reliable Bases	Percentage OnTarget Reliable Reads	Percentage OnTarget Reliable Bases	Coverage OnTarget	Enrichment	Specificity	LC	DP1	DP4	DP10	DP20	DP50
Site	1	1	1	0.312790399083856	0.326583220750224	0.128576581128833	0.684578979922257	0.182591163746496	0.205074654697399	0.0185220749457695	0.317430136414612	0.31746294429543	0.175519447483099	0.175521673935883	0.17520583354666	0.175191798730784	0.178586441704116	0.182606746411059	0.178586441704116	0.182606746411059	0.182606746411059	0.17520583354666	0.215172461327923	0.172246519100157	0.176024845049595	0.205804226732298	0.284714370941274	0.293511932092327	0.348393388646432
Subspecies	1	1	1	0.149763719418645	0.16496999969828	0.00906010183375932	0.0306191328654556	0.117590530379385	0.140405611710272	0.00739958992362875	0.0573357516096069	0.0573115524170944	0.0902060233773125	0.0902018956165308	0.090195450546859	0.0901887835896609	0.0953509644437752	0.0974233914997293	0.0953509644437753	0.0974233914997293	0.0974233914997292	0.0901954505468593	0.145622323071868	0.0863509185821443	0.0905804257283142	0.111538790610247	0.1544829817781	0.145112329136192	0.115296006368237
Common name	1	1	1	0.149763719418646	0.164969999698281	0.00906010183375942	0.0306191328654557	0.117590530379385	0.140405611710272	0.0073995899236286	0.0573357516096072	0.0573115524170947	0.0902060233773129	0.0902018956165311	0.0901954505468597	0.0901887835896614	0.0953509644437757	0.0974233914997299	0.0953509644437756	0.0974233914997299	0.0974233914997299	0.0901954505468597	0.145622323071868	0.0863509185821446	0.0905804257283148	0.111538790610247	0.1544829817781	0.145112329136192	0.115296006368237
Total DNA Concentration (ng/ul)	0.55927667489701	0.386993177483331	0.386993177483332	1	0.962762074006636	0.117148687242359	0.0623562206047066	0.071389113760856	0.135386242287122	0.0551504768458488	-0.107888891346492	-0.10768917921651	0.117691783455282	0.117881989721081	0.117100717839448	0.117161699449525	0.0867445807080346	0.0880956168563175	0.0867445807080346	0.0880956168563175	0.0880956168563175	0.117100717839448	-0.183686039078268	0.112654597412346	0.0679781681957194	0.0638548720983163	0.0432621223463794	0.0480124453387931	0.0613561281168006
Endogenous DNA (qPCR - pg/ul)	0.571474602016769	0.406164990734406	0.406164990734407	0.962762074006636	1	0.345740159345338	0.0809753400348312	0.12564679936926	0.227971251567707	0.0688907159225637	-0.0995220733461705	-0.0993322023817736	0.201841322562453	0.202008287765009	0.201153982685403	0.201198445407918	0.172399219924065	0.174405200296971	0.172399219924065	0.174405200296971	0.174405200296971	0.201153982685403	-0.155805596510261	0.197587167177414	0.165052202518908	0.152587195446333	0.132128211274131	0.135333053294465	0.153235833470418
% Endogenous DNA	0.358575767626359	0.0951845672037191	0.0951845672037196	0.117148687242359	0.345740159345338	1	0.0260755261414671	0.275679268540181	0.885093199306813	0.0528627628808312	0.0104704667682641	0.01042001523259	0.320277402905926	0.320265504605484	0.319641598517279	0.319595705966415	0.310435920873514	0.313670705740624	0.310435920873514	0.313670705740624	0.313670705740624	0.319641598517279	-0.0274953257242994	0.331115880843644	0.351584166697675	0.298464721995604	0.300952025884519	0.30330330212664	0.2809225102213
Average Fragment Size	0.827392881237358	0.174983235955492	0.174983235955493	0.0623562206047066	0.0809753400348312	0.0260755261414671	1	0.0460783675606206	0.178292176291433	0.0330721302285588	-0.0470333037896948	-0.0468951615542496	0.21134109470278	0.21129305705893	0.211369102434843	0.211361065062815	0.183815064088662	0.185776745514445	0.183815064088662	0.185776745514445	0.185776745514445	0.211369102434843	-0.204677880196505	0.205116084504418	0.193562245618918	0.103402217729287	0.111480245917816	0.14067584085263	0.0581862577435323
Sequencing Batch	0.182591163746496	0.117590530379385	0.117590530379385	0.00509640556356043	0.015787118191739	0.075999059102849	0.00212321595705165	1	1	1	0.103703224294658	0.103688140894756	0.440283590246993	0.440270772715382	0.439964587484159	0.43998805550443	0.424850549791648	0.399669865979323	0.424850549791648	0.399669865979323	0.399669865979323	0.439964587484159	0.0817096245849394	0.453319778093114	0.389092801899486	0.419349577524287	0.258532129958124	0.251148596107523	0.222285646599612
Capture Pool	0.205074654697399	0.140405611710272	0.140405611710272	0.0183294346006273	0.0519708915413466	0.78338997145917	0.0317881001267355	1	1	1	0.232959063923104	0.233022497738517	0.539054616172192	0.53903542481642	0.538211205125669	0.538239972326563	0.514133597522653	0.490825136187561	0.514133597522653	0.49082513618756	0.490825136187561	0.538211205125669	0.172833568007026	0.559167838943632	0.493255338326557	0.491321814158037	0.360949982651083	0.354672672136286	0.355075704004732
Starting DNA (ug)	0.136095830008746	0.0860208691169111	0.0860208691169102	0.0551504768458488	0.0688907159225637	0.0528627628808312	0.0330721302285588	1	1	1	-0.400231030299954	-0.400755843340182	0.266694327372273	0.266742008802761	0.26461003778002	0.264657755376394	0.237040605470585	0.241493371393223	0.237040605470585	0.241493371393223	0.241493371393223	0.26461003778002	-0.225387497271274	0.290663657683173	0.24457272091079	0.240119985261247	0.253056649994855	0.243616319493027	0.188179689181616
