Rsq	Adj_Rsq	Fstat	etasq_fit0_Subspecies	etasq_fit0_Site	etasq_fit0_TotalDNAConcentration(ng/ul)	etasq_fit0_EndogenousDNA(qPCR-pg/ul)	etasq_fit0_%EndogenousDNA	etasq_fit0_AverageFragmentSize	etasq_fit0_Pool	etasq_fit0_StartingDNA(ug)	etasq_fit0_CapturePool	etasq_fit0_Residuals	pval_fit0_Subspecies	pval_fit0_Site	pval_fit0_TotalDNAConcentration(ng/ul)	pval_fit0_EndogenousDNA(qPCR-pg/ul)	pval_fit0_%EndogenousDNA	pval_fit0_AverageFragmentSize	pval_fit0_Pool	pval_fit0_StartingDNA(ug)	pval_fit0_CapturePool	pval_fit0_Residuals	etasq_fit_SequencingBatch	etasq_fit_CapturePool	etasq_fit_AverageFragmentSize	etasq_fit_%EndogenousDNA	etasq_fit_EndogenousDNA(qPCR-pg/ul)	etasq_fit_TotalDNAConcentration(ng/ul)	etasq_fit_Site	etasq_fit_Residuals	pval_fit_SequencingBatch	pval_fit_CapturePool	pval_fit_AverageFragmentSize	pval_fit_%EndogenousDNA	pval_fit_EndogenousDNA(qPCR-pg/ul)	pval_fit_TotalDNAConcentration(ng/ul)	pval_fit_Site	pval_fit_Residuals	eta_fit_T2_SequencingBatch	eta_fit_T2_CapturePool	eta_fit_T2_StartingDNA(ug)	eta_fit_T2_Pool	eta_fit_T2_AverageFragmentSize	eta_fit_T2_%EndogenousDNA	eta_fit_T2_EndogenousDNA(qPCR-pg/ul)	eta_fit_T2_TotalDNAConcentration(ng/ul)	eta_fit_T2_Site	eta_fit_T2_Subspecies	eta_fit_T2_Residuals	pval_fit_T2_SequencingBatch	pval_fit_T2_CapturePool	pval_fit_T2_StartingDNA(ug)	pval_fit_T2_Pool	pval_fit_T2_AverageFragmentSize	pval_fit_T2_%EndogenousDNA	pval_fit_T2_EndogenousDNA(qPCR-pg/ul)	pval_fit_T2_TotalDNAConcentration(ng/ul)	pval_fit_T2_Site	pval_fit_T2_Subspecies	pval_fit_T2_Residuals
Mapped Reads	0.600193759943108	0.543317558428739	10.5526343877144	0.0418292611338025	0.187610326060339	0.0382602246310882	0.0184669676649081	0.0101827185488895	0.0163259650878444	0.0586232726412359	0.136995938613825	0.0918990855611752	0.399806240056892	2.70949331893325e-05	1.11069659383487e-15	3.03064564937745e-06	0.00103184848070269	0.0143191664273007	0.0020043272448531	7.92412696829108e-08	5.15167312265112e-17	4.72793359879016e-06	NA	0.182240261550254	0.104333638565737	0.000404244028070376	0.0224241352594957	0.0273668276288167	0.0794296770000884	0.183994975910646	0.399806240056892	3.22537524633544e-20	8.57622892220476e-07	0.623466023492286	0.000308948400484514	7.07339203679115e-05	4.88992089037027e-11	4.66606857761352e-14	NA	NA	0.0826331022571859	NA	NA	0.00526169974133668	0.009974111033304	0.0353898459726709	0.0517194976328741	0.205233700885455	NA	0.609788042477173	NA	0.00330327760011331	NA	NA	0.152292896165244	0.049170339137424	0.000244346795448442	1.05090003796234e-05	3.60974266326257e-11	NA	NA
Percentage Mapped Reads	0.600307331257161	0.543447286331401	10.5576302664017	0.0417388019514173	0.187409718015371	0.0380135323585366	0.0186052566494483	0.0102489468118976	0.0164245839495983	0.058637736951197	0.137272248322051	0.0919565062476432	0.399692668742839	2.76557055711661e-05	1.14212015577682e-15	3.24054080761973e-06	0.000987220559052093	0.0139965401865383	0.00194073747083336	7.86009526622172e-08	4.7985739578213e-17	4.6524415750817e-06	NA	0.182539074037024	0.10441792130956	0.000406903577385174	0.022512519811443	0.0271982240676389	0.0795938081665864	0.183638880287523	0.399692668742839	3.00138178683841e-20	8.39263009059172e-07	0.622277229909935	0.000300242479953086	7.41741521464698e-05	4.66311618158466e-11	4.93567026961294e-14	NA	NA	0.0827481583850563	NA	NA	0.00533035012643036	0.00990581187869197	0.0356444697229348	0.051967661205769	0.204928287300324	NA	0.609475261380793	NA	0.00324196657929812	NA	NA	0.149552134024701	0.049888573153551	0.000231559321527727	9.97781099747511e-06	3.70683868459197e-11	NA	NA
Unique Reads	0.631550378419898	0.579134951082143	12.048940750789	0.0865720910594557	0.0982397169797846	0.000229875518972109	0.175929969415591	0.00377259291916148	0.0126430503188811	0.0478732583986988	0.0467775414507532	0.1595122823586	0.368449621580102	6.12342164712218e-11	1.11483868879923e-08	0.699728969171812	4.96349054761921e-22	0.11906191788219	0.00455861530413136	4.5736861182556e-07	9.33797387303731e-08	8.83132493113987e-13	NA	0.336965544285719	0.115499242333542	0.0139882472572285	0.000294939154587788	0.0200464242710464	0.0382872614674698	0.106468719650305	0.368449621580102	1.96350506594701e-34	1.58892227166922e-08	0.00287190044339337	0.662218213110162	0.000378462310709418	1.19878412161812e-06	2.27380701549791e-08	NA	NA	0.0846926005596559	NA	NA	0.00483344626622025	0.0217455360729212	0.0377154555103573	0.0382047011517221	0.137962245572614	NA	0.674846014866509	NA	0.00677040395520579	NA	NA	0.192010315497047	0.00595452838265572	0.000316492641754767	0.000290004277622087	2.01295909613599e-06	NA	NA
Percentage Unique Reads	0.631450942598306	0.579021369578818	12.043793344714	0.0865720910594557	0.098229874607977	0.000232430950352714	0.175921425474544	0.003761889425777	0.0126475513688261	0.0478137808666498	0.0467774314471469	0.159494467397578	0.368549057401693	6.16045547986252e-11	1.12400335734375e-08	0.69818535149644	5.0254231077524e-22	0.119633757231646	0.00455690109100187	4.66970727159256e-07	9.37330940686315e-08	8.93992968349846e-13	NA	0.336965544285719	0.115401308815888	0.0139811375726068	0.000296438183932949	0.0200641805342006	0.0383027025897161	0.106439630616242	0.368549057401694	1.99398156189781e-34	1.63168443174952e-08	0.00288259541858088	0.661457406461659	0.000376931397168802	1.19691987673875e-06	2.30200099290835e-08	NA	NA	0.0846346687135607	NA	NA	0.00483933664402483	0.0217278645097159	0.0377393251994984	0.0382194166955375	0.13791313677498	NA	0.674926251462682	NA	0.00681886127115216	NA	NA	0.191766997288922	0.00597748609821767	0.000315397840693166	0.000289478127847737	2.02940437724389e-06	NA	NA
Reliable Reads	0.631777402368587	0.579394271324787	12.060703317645	0.0869219253371785	0.0997415357499781	0.00024111093795881	0.175942172198308	0.00369397922173559	0.0126388911826573	0.0474903053939195	0.045236131223923	0.159871351122928	0.368222597631413	5.51803652569753e-11	7.84107239994722e-09	0.692755777047066	4.83265050597635e-22	0.122842456146475	0.0045528971359316	5.06259849313962e-07	1.46456080902619e-07	8.05589453583188e-13	NA	0.333847878734538	0.116080612072489	0.0139767125003962	0.000361054705496522	0.0200697492525891	0.039426375721578	0.1080150193815	0.368222597631413	3.21886218281639e-34	1.38920314662555e-08	0.00287476390640823	0.628762020592988	0.000374051717001947	8.41506341877985e-07	1.61245820120923e-08	NA	NA	0.085769251343713	NA	NA	0.00495555301440631	0.0214019099643367	0.0382730211695015	0.0387401598191981	0.139488473231237	NA	0.671371631457607	NA	0.00576948424361703	NA	NA	0.185378948021664	0.00622403885927356	0.000276540433699356	0.000254333907034802	1.52250279120949e-06	NA	NA
Percentage Reliable Reads	0.631474491066954	0.579048268038821	12.0450121064053	0.0866550363067607	0.0997088890143922	0.000236889643098709	0.175877333438717	0.00367110608857952	0.01263963871	0.0476360146981498	0.0453881314312021	0.159661451736054	0.368525508933046	6.02138194146963e-11	8.04599531076503e-09	0.695439404603881	5.06210403524679e-22	0.124155750856419	0.00456809721505502	4.90990122529974e-07	1.41532217078473e-07	8.62743525392106e-13	NA	0.333900117675397	0.115941897490472	0.0139609184741235	0.000351001616341699	0.0200549413410646	0.0394226111877913	0.107843003281764	0.368525508933046	3.34296049257476e-34	1.45775611283913e-08	0.00290168594688157	0.633718823850704	0.000377917418675663	8.50803200709508e-07	1.70458135898032e-08	NA	NA	0.0854094949292096	NA	NA	0.00494038733836137	0.0215455910104964	0.0383035894146566	0.0387825060282237	0.139337159375106	NA	0.671681271903947	NA	0.0060187793815255	NA	NA	0.186151707884788	0.00606695026041442	0.000275900982550462	0.000253221991398699	1.56403495466867e-06	NA	NA
OnTarget Reliable Reads	0.605916728370859	0.549854672992654	10.807964928921	0.0927089261536914	0.0963557242704424	9.85991507414705e-06	0.170130469585414	0.00225599362213624	0.00573849469455603	0.0435798013095497	0.0341380510605144	0.160999407759481	0.394083271629141	5.95744078201228e-11	7.03138033132881e-08	0.938426639764064	2.20692270575781e-20	0.243287534355504	0.0633313489154958	3.60202987728449e-06	8.5336517225629e-06	5.41678619002177e-12	NA	0.321681728230072	0.0967061689164847	0.0073907447750751	0.00115931006002278	0.0170102176951317	0.0451297791572821	0.11683877953679	0.394083271629141	1.06585041951922e-31	2.79208383083974e-06	0.0352816506044422	0.40258594393201	0.00149990695964746	3.67234619855808e-07	1.26028358517386e-08	NA	NA	0.0684644803983471	NA	NA	0.000657087680168881	0.0198854274081292	0.0381587929199528	0.0404082060225235	0.133627373560527	NA	0.698798632010351	NA	0.043560805623793	NA	NA	0.635888922451659	0.00968371320659782	0.000369470014443177	0.000250623623941896	6.08943780347125e-06	NA	NA
OnTarget Reliable Bases	0.601492385484893	0.544800925679397	10.6099293888103	0.0947617938616011	0.0946202483142022	9.22479031785685e-05	0.17385274697668	0.00247813715628845	0.00575917783666666	0.0414067424349675	0.0356716086278517	0.152849682373457	0.398507614515106	4.68036325675206e-11	1.26907952226748e-07	0.814245845898896	1.50542326413385e-20	0.224003843958376	0.0643284738614114	7.40771663613177e-06	6.13008745531897e-06	3.53641331875999e-11	NA	0.313358733851667	0.0969322831677843	0.00799199459990281	0.00174650672668767	0.0160584731445687	0.04683238684007	0.118572007154213	0.398507614515107	7.77249088497801e-31	3.28734326385668e-06	0.029541638268477	0.307130869181521	0.00214372080863717	2.63449561241784e-07	1.15996423728721e-08	NA	NA	0.0662224224008839	NA	NA	0.000852003248551016	0.017597379740682	0.0392018378005171	0.0420281410065204	0.133058603600451	NA	0.701039612202395	NA	0.0543891437578229	NA	NA	0.590423170652866	0.0150302339289586	0.000315270201090311	0.000194207098055582	6.85972775943021e-06	NA	NA
Percentage OnTarget Reliable Reads	0.605916728370859	0.549854672992654	10.807964928921	0.0927089261536914	0.0963557242704424	9.85991507414705e-06	0.170130469585414	0.00225599362213624	0.00573849469455603	0.0435798013095497	0.0341380510605144	0.160999407759481	0.394083271629141	5.95744078201228e-11	7.03138033132881e-08	0.938426639764064	2.20692270575781e-20	0.243287534355504	0.0633313489154958	3.60202987728449e-06	8.5336517225629e-06	5.41678619002177e-12	NA	0.321681728230072	0.0967061689164847	0.0073907447750751	0.00115931006002278	0.0170102176951317	0.0451297791572821	0.11683877953679	0.394083271629141	1.06585041951922e-31	2.79208383083974e-06	0.0352816506044422	0.40258594393201	0.00149990695964746	3.67234619855808e-07	1.26028358517386e-08	NA	NA	0.0684644803983471	NA	NA	0.000657087680168881	0.0198854274081292	0.0381587929199528	0.0404082060225235	0.133627373560527	NA	0.698798632010351	NA	0.043560805623793	NA	NA	0.635888922451659	0.00968371320659782	0.000369470014443177	0.000250623623941896	6.08943780347125e-06	NA	NA
Percentage OnTarget Reliable Bases	0.601492385484893	0.544800925679397	10.6099293888103	0.0947617938616011	0.0946202483142022	9.22479031785685e-05	0.17385274697668	0.00247813715628845	0.00575917783666666	0.0414067424349675	0.0356716086278517	0.152849682373457	0.398507614515106	4.68036325675206e-11	1.26907952226748e-07	0.814245845898896	1.50542326413385e-20	0.224003843958376	0.0643284738614114	7.40771663613177e-06	6.13008745531897e-06	3.53641331875999e-11	NA	0.313358733851667	0.0969322831677843	0.00799199459990281	0.00174650672668767	0.0160584731445687	0.04683238684007	0.118572007154213	0.398507614515107	7.77249088497801e-31	3.28734326385668e-06	0.029541638268477	0.307130869181521	0.00214372080863717	2.63449561241784e-07	1.15996423728721e-08	NA	NA	0.0662224224008839	NA	NA	0.000852003248551016	0.017597379740682	0.0392018378005171	0.0420281410065204	0.133058603600451	NA	0.701039612202395	NA	0.0543891437578229	NA	NA	0.590423170652866	0.0150302339289586	0.000315270201090311	0.000194207098055582	6.85972775943021e-06	NA	NA
