Rsq	Adj_Rsq	Fstat	EtaSq	Fstat_	pval
Extract ID	0.922703835926347	0.902306237073577	45.23590460752	0.922703835926347	45.23590460752	3.84606926546542e-93
Site	0.257483525154023	0.220357701411724	6.935429283436	0.257483525154023	6.93542928343598	1.70524361516676e-11
Subspecies	0.0810280647358293	0.0708172654551162	7.93552615306832	0.081028064735829	7.93552615306829	4.32555835894964e-05
Total DNA Concentration (ng/ul)	0.0263163906438896	0.0227366714918451	7.35152382802412	0.0263163906438896	7.35152382802412	0.00712716250330857
Endogenous DNA (qPCR - pg/ul)	0.0659736547956006	0.0625397344088197	19.2123425602908	0.0659736547956006	19.2123425602908	1.67227031852486e-05
% Endogenous DNA	0.119205464977728	0.11596724977544	36.812088613972	0.119205464977728	36.8120886139719	4.34550147801481e-09
Average Fragment Size	0.0145009271566389	0.0108777688005972	4.00228908914732	0.0145009271566389	4.00228908914732	0.0464323108279309
Sequencing Batch	0.268385415315924	0.26298604568726	49.7068053817043	0.268385415315924	49.7068053817043	4.07623334598323e-19
Pool	0.134647195842189	0.128260828283828	21.0835337320862	0.134647195842189	21.0835337320862	3.08801444608865e-09
Capture Pool	0.344053827347447	0.300494901819739	7.89858388790121	0.344053827347447	7.8985838879012	7.88473397372868e-16
Starting DNA (ug)	0.0565393047896404	0.0530706992925435	16.3002984447097	0.0565393047896404	16.3002984447097	7.03421192638717e-05
