Rsq	Adj_Rsq	Fstat	EtaSq	Fstat_	pval
Extract ID	0.850210427262205	0.810682623345287	21.5091743788557	0.850210427262205	21.5091743788557	4.45829532601337e-63
Site	0.179315763136396	0.138281551293216	4.36990879273335	0.179315763136396	4.36990879273334	1.12874291663499e-06
Subspecies	0.0838773986426028	0.0736982586275207	8.24012623053849	0.0838773986426023	8.24012623053844	2.88987983009163e-05
Total DNA Concentration (ng/ul)	0.021829351408647	0.0182331357888258	6.07008970439115	0.021829351408647	6.07008970439115	0.0143680965115781
Endogenous DNA (qPCR - pg/ul)	0.0647802689608971	0.0613419611261945	18.8407414563276	0.0647802689608971	18.8407414563276	2.00599162617995e-05
% Endogenous DNA	0.149696541078405	0.146570425420605	47.8857974128043	0.149696541078405	47.8857974128042	3.23687337020628e-11
Average Fragment Size	0.0318115515191681	0.0282520351644592	8.93704322416839	0.0318115515191681	8.93704322416837	0.00305009853223477
Sequencing Batch	0.348958370763172	0.344153635492051	72.6280119657439	0.348958370763172	72.6280119657439	5.54608970811491e-26
Pool	0.185342892851258	0.179330663278205	30.8276473143935	0.185342892851258	30.8276473143935	8.65151706682122e-13
Capture Pool	0.477743377533921	0.443062273698283	13.7753221407848	0.477743377533921	13.7753221407848	1.88016231459027e-27
Starting DNA (ug)	0.0910092873435268	0.0876674097234663	27.2329802854593	0.091009287343527	27.2329802854593	3.58256030257443e-07
