Rsq	Adj_Rsq	Fstat	EtaSq	Fstat_	pval
Extract ID	0.773164003820115	0.713304504828201	12.9163126461275	0.773164003820115	12.9163126461275	9.84270014407286e-45
Site	0.229439587194142	0.190911566553849	5.9551355969269	0.229439587194142	5.95513559692688	1.14496167977899e-09
Subspecies	0.0418292611338025	0.0311829195908447	3.92897982513734	0.0418292611338025	3.92897982513734	0.00906064130588109
Total DNA Concentration (ng/ul)	0.0381191134114338	0.0345827866225052	10.7792960567944	0.0381191134114338	10.7792960567944	0.00116072825531134
Endogenous DNA (qPCR - pg/ul)	0.0197411730401422	0.0161372802939663	5.47773600118632	0.0197411730401422	5.47773600118632	0.0199831639456693
% Endogenous DNA	0.000261536327809224	-0.00341397272980903	0.0711564911715097	0.000261536327809227	0.0711564911715104	0.789862433094371
Average Fragment Size	0.00043639819653093	-0.00323846798657002	0.118752132672946	0.000436398196530928	0.118752132672945	0.730658155214987
Sequencing Batch	0.182174949974795	0.176139340749517	30.1833573339726	0.182174949974795	30.1833573339726	1.46381234002363e-12
Capture Pool	0.286525211579248	0.239146026410683	6.04749133105286	0.286525211579248	6.04749133105285	9.77917097141276e-12
Starting DNA (ug)	0.154416894893043	0.151308133477208	49.6715167997531	0.154416894893043	49.6715167997531	1.49581909150639e-11
