Rsq	Adj_Rsq	Fstat	EtaSq	Fstat_	pval
Extract ID	0.885546923285613	0.855344028041539	29.3199349310512	0.885546923285613	29.3199349310512	3.23547421346005e-75
Site	0.189382042175804	0.148851144284594	4.67253507889535	0.189382042175803	4.67253507889535	3.02156756139093e-07
Subspecies	0.0947617938616016	0.0847035915711749	9.42134500036805	0.094761793861601	9.42134500036799	6.09050013624951e-06
Total DNA Concentration (ng/ul)	0.0155506973897774	0.0119313984831222	4.29660489250625	0.0155506973897774	4.29660489250624	0.0391302532792636
Endogenous DNA (qPCR - pg/ul)	0.0558225126749095	0.052351271912685	16.0814292348696	0.0558225126749096	16.0814292348696	7.84440993104305e-05
% Endogenous DNA	0.13273895846529	0.129550498753765	41.6310602845336	0.13273895846529	41.6310602845335	5.02724740805574e-10
Average Fragment Size	0.0224248415516443	0.0188308152338196	6.23947616644505	0.0224248415516443	6.23947616644505	0.0130842751264565
Sequencing Batch	0.313358733851666	0.308291270632859	61.8373968041242	0.313358733851667	61.8373968041243	7.53184712970827e-23
Capture Pool	0.410291017019451	0.371130654868399	10.4772018051531	0.410291017019451	10.4772018051531	3.46794657063676e-21
Starting DNA (ug)	0.0589311759896427	0.0554713641366634	17.0330580083125	0.0589311759896428	17.0330580083125	4.88861730627663e-05
