Rsq	Adj_Rsq	Fstat	EtaSq	Fstat_	pval
Extract ID	0.882793322476612	0.851863782574607	28.5420774209247	0.882793322476612	28.5420774209247	3.8746134436565e-74
Site	0.189038640804501	0.148490572844726	4.66208750049529	0.189038640804501	4.66208750049529	3.1623088918445e-07
Subspecies	0.0926757981740696	0.0825944181537814	9.19276904427426	0.0926757981740693	9.19276904427423	8.22455268414722e-06
Total DNA Concentration (ng/ul)	0.0164781516361134	0.0128622624877167	4.55715066470445	0.0164781516361134	4.55715066470445	0.0336754303642851
Endogenous DNA (qPCR - pg/ul)	0.0569161848278176	0.0534489649190965	16.415510502998	0.0569161848278177	16.415510502998	6.64232277407615e-05
% Endogenous DNA	0.1303976960067	0.127200628712607	40.7866597764851	0.130397696006699	40.786659776485	7.31537840572745e-10
Average Fragment Size	0.0214374777812482	0.0178398214495615	5.95873418826479	0.0214374777812482	5.9587341882648	0.0152825699886881
Sequencing Batch	0.321681728230072	0.316675689324021	64.2587351531036	0.321681728230072	64.2587351531036	1.44291711545341e-23
Pool	0.148338305572946	0.142052979414813	23.600733174522	0.148338305572946	23.600733174522	3.55790196725102e-10
Capture Pool	0.418498803107341	0.379883489251188	10.837638266163	0.41849880310734	10.837638266163	6.67045807205885e-22
Starting DNA (ug)	0.0571692349396263	0.0537029453621984	16.4929194929088	0.0571692349396264	16.4929194929088	6.39150888096126e-05
