Rsq	Adj_Rsq	Fstat	EtaSq	Fstat_	pval
Extract ID	0.772588308798527	0.712576890287028	12.8740217772136	0.772588308798527	12.8740217772136	1.26829225532607e-44
Site	0.229213295142223	0.190673959899334	5.94751553698677	0.229213295142223	5.94751553698677	1.18330631450006e-09
Subspecies	0.0419405845961904	0.0312954799805926	3.93989407438386	0.0419405845961904	3.93989407438386	0.00892979947246133
Total DNA Concentration (ng/ul)	0.0380267637120297	0.0344900974021475	10.7521491653805	0.0380267637120298	10.7521491653805	0.00117721426571449
Endogenous DNA (qPCR - pg/ul)	0.0196207576850753	0.0160164222353881	5.44365472053327	0.0196207576850753	5.44365472053328	0.0203687000673392
% Endogenous DNA	0.000247970319093272	-0.00342758861355708	0.0674646560256521	0.000247970319093276	0.0674646560256533	0.79526114070977
Average Fragment Size	0.000404964874682561	-0.0032700168721016	0.110195071046794	0.000404964874682557	0.110195071046793	0.740177808640025
Sequencing Batch	0.182705629041401	0.176673936266799	30.2909375309571	0.182705629041401	30.2909375309571	1.34056477058372e-12
Pool	0.0341751850337613	0.0270473266207264	4.79459369889613	0.0341751850337613	4.79459369889613	0.00898933817871165
Capture Pool	0.286652944144562	0.239282241216662	6.05127064677207	0.286652944144562	6.05127064677206	9.58864287017917e-12
Starting DNA (ug)	0.155000777705393	0.151894162917545	49.8937873828809	0.155000777705393	49.893787382881	1.35924112380903e-11
