Rsq	Adj_Rsq	Fstat	EtaSq	Fstat_	pval
Extract ID	0.863529630135873	0.827516615866173	23.9782658476997	0.863529630135873	23.9782658476997	2.91663803431343e-67
Site	0.186267428487134	0.14558079991149	4.57809936600746	0.186267428487133	4.57809936600745	4.55962702447323e-07
Subspecies	0.0866550363067611	0.0765067589323919	8.53889119404824	0.0866550363067607	8.53889119404819	1.94703371238694e-05
Total DNA Concentration (ng/ul)	0.019426930464501	0.0158218824147383	5.3888131853829	0.0194269304645011	5.38881318538291	0.0210054168789714
Endogenous DNA (qPCR - pg/ul)	0.0617455171753555	0.0582960521649708	17.9000271025996	0.0617455171753554	17.9000271025996	3.18516219230498e-05
% Endogenous DNA	0.138138656514568	0.134970048634106	43.5960086340704	0.138138656514568	43.5960086340704	2.10960421711525e-10
Average Fragment Size	0.0332111381789849	0.0296567673634665	9.34374602503052	0.0332111381789848	9.34374602503049	0.0024601234526951
Sequencing Batch	0.333817346242274	0.32890086909277	67.8976706473625	0.333817346242273	67.8976706473625	1.24995647519093e-24
Capture Pool	0.449880824631337	0.413349473142012	12.3149242031956	0.449880824631337	12.3149242031956	9.35889146018361e-25
Starting DNA (ug)	0.0735571444650967	0.070151104555042	21.596090007035	0.0735571444650969	21.5960900070351	5.2504868404837e-06
