Rsq	Adj_Rsq	Fstat	EtaSq	Fstat_	pval
Extract ID	0.862539444840029	0.826265131672814	23.778243322319	0.862539444840029	23.7782433223189	6.17193445751481e-67
Site	0.184919707585008	0.144165692964259	4.53745991176187	0.184919707585008	4.53745991176187	5.44265193388616e-07
Subspecies	0.0865916057160329	0.0764426235573221	8.53204827458608	0.0865916057160323	8.53204827458601	1.96470897272942e-05
Total DNA Concentration (ng/ul)	0.0195507583317556	0.0159461655315046	5.42384657995066	0.0195507583317556	5.42384657995065	0.0205963246654574
Endogenous DNA (qPCR - pg/ul)	0.0618382970204551	0.0583891731124421	17.9286968719192	0.061838297020455	17.9286968719192	3.14047579021288e-05
% Endogenous DNA	0.138672366628857	0.135505720917933	43.7915634674593	0.138672366628857	43.7915634674593	1.93560436970044e-10
Average Fragment Size	0.0331980981818337	0.0296436794251493	9.33995132661322	0.0331980981818336	9.33995132661318	0.00246505110719213
Sequencing Batch	0.336973020536111	0.332079832495787	68.8657410586259	0.336973020536112	68.865741058626	6.56867398441022e-25
Capture Pool	0.452338114774113	0.415969942708331	12.4377467736332	0.452338114774113	12.4377467736332	5.49262867917226e-25
Starting DNA (ug)	0.0756350142882952	0.0722366136055316	22.2560614090943	0.0756350142882953	22.2560614090943	3.81962367656971e-06
