Rsq	Adj_Rsq	Fstat	EtaSq	Fstat_	pval
Extract ID	0.863614626256968	0.827624041519224	23.9955708569322	0.863614626256968	23.9955708569322	2.73415706271959e-67
Site	0.186663461087157	0.145996634141515	4.59006701793241	0.186663461087157	4.5900670179324	4.32799297352023e-07
Subspecies	0.086921925337179	0.076776613396481	8.56769371363447	0.0869219253371785	8.56769371363441	1.87437105769931e-05
Total DNA Concentration (ng/ul)	0.0194363840001406	0.0158313707060235	5.39148746881407	0.0194363840001406	5.39148746881407	0.0209738924710852
Endogenous DNA (qPCR - pg/ul)	0.0617806702537396	0.0583313344826136	17.9108890386663	0.0617806702537395	17.9108890386663	3.16815690929537e-05
% Endogenous DNA	0.138277188349498	0.135109089777253	43.6467443156394	0.138277188349498	43.6467443156395	2.0630000799692e-10
Average Fragment Size	0.0332709901861232	0.0297168394147486	9.36116454430992	0.033270990186123	9.36116454430989	0.00243763319128067
Sequencing Batch	0.333847878734537	0.32893162691708	67.9069931993851	0.333847878734537	67.9069931993853	1.24221782519344e-24
Pool	0.164060841363678	0.157891548680016	26.5931363247092	0.164060841363678	26.5931363247092	2.84883798120508e-11
Capture Pool	0.449928490807027	0.413400304649681	12.3172962618223	0.449928490807027	12.3172962618223	9.26288677482714e-25
Starting DNA (ug)	0.0734784464948004	0.0700721172539724	21.5711521992926	0.0734784464948005	21.5711521992926	5.31410356623551e-06
