Rsq	Adj_Rsq	Fstat	EtaSq	Fstat_	pval
Extract ID	0.833870615425603	0.79003091671847	19.0209020594828	0.833870615425603	19.0209020594828	1.88908019892557e-58
Site	0.242587670788188	0.204717054327597	6.40569638048095	0.242587670788188	6.40569638048095	1.6426808135152e-10
Subspecies	0.150761398752785	0.141325414294482	15.9772834958556	0.150761398752785	15.9772834958556	1.36683023649444e-09
Total DNA Concentration (ng/ul)	0.0128505386444148	0.00922131268354864	3.54084831944384	0.0128505386444148	3.54084831944385	0.0609425860703783
Endogenous DNA (qPCR - pg/ul)	0.00500161997404985	0.00134353769454265	1.36727924411905	0.00500161997404985	1.36727924411905	0.243303566166518
% Endogenous DNA	0.000276268088923027	-0.00339918680780893	0.0751656860675058	0.000276268088923027	0.0751656860675057	0.784166985861473
Average Fragment Size	0.0441642478095435	0.0406501457794316	12.5677192725495	0.0441642478095435	12.5677192725495	0.000461894365861745
Sequencing Batch	0.088427157272579	0.0816996824185022	13.1441825039289	0.0884271572725791	13.1441825039289	3.56231045752909e-06
Pool	0.00687174298195129	-0.000457616848440257	0.937563872012029	0.00687174298195127	0.937563872012027	0.392846975280875
Capture Pool	0.224303268946792	0.17279215790029	4.35446381159008	0.224303268946792	4.35446381159008	7.38991054794647e-08
Starting DNA (ug)	0.0618159696593154	0.0583667636654159	17.9217970073826	0.0618159696593156	17.9217970073826	3.15117201765672e-05
