Rsq	Adj_Rsq	Fstat	EtaSq	Fstat_	pval
Extract ID	0.862490572957168	0.826203363043087	23.7684455487025	0.862490572957167	23.7684455487025	6.40361159483176e-67
Site	0.18481180803924	0.144052398441202	4.53421209634343	0.18481180803924	4.53421209634343	5.52019125164404e-07
Subspecies	0.0865720910594561	0.0764228920712279	8.52994321619552	0.0865720910594557	8.52994321619548	1.97017869211902e-05
Total DNA Concentration (ng/ul)	0.0195157311088717	0.015911009532066	5.41393577646733	0.0195157311088717	5.41393577646733	0.0207112067434001
Endogenous DNA (qPCR - pg/ul)	0.0617506308267791	0.0583011846165835	17.9016071171831	0.061750630826779	17.9016071171831	3.18268281573062e-05
% Endogenous DNA	0.138738691870729	0.135572290002607	43.81588239556	0.138738691870729	43.81588239556	1.91500265678981e-10
Average Fragment Size	0.0332251958467834	0.0296708767138671	9.34783698489192	0.0332251958467832	9.34783698489187	0.00245482235507886
Sequencing Batch	0.336965544285718	0.332072301070115	68.8634366694065	0.336965544285718	68.8634366694065	6.5787178064483e-25
Capture Pool	0.45246478661926	0.416105026355695	12.4441080837561	0.45246478661926	12.4441080837561	5.3433874844936e-25
Starting DNA (ug)	0.075656930666925	0.0722586105590829	22.263038285397	0.0756569306669251	22.263038285397	3.80681963574375e-06
