Extract ID	Site	Subspecies	Common name	Total DNA Concentration (ng/ul)	Endogenous DNA (qPCR - pg/ul)	% Endogenous DNA	Average Fragment Size	Sequencing Batch	Capture Pool	Starting DNA  (ug)	Production Reads	Production Bases	Mapped Reads	Percentage Mapped Reads	Unique Reads	Percentage Unique Reads	Reliable Reads	Percentage Reliable Reads	OnTarget Reliable Reads	OnTarget Reliable Bases	Percentage OnTarget Reliable Reads	Percentage OnTarget Reliable Bases	Coverage OnTarget	Enrichment Factor (EF)	Capture Specificity (CSp)	Library Complexity (LC)	Capture Sensitivity (CS) DP1	Capture Sensitivity (CS) DP4	Capture Sensitivity (CS) DP10	Capture Sensitivity (CS) DP50
Extract ID	1	1	1	1	1	1	1	1	0.168545547472305	0.349369179421156	0.0277777777777791	0.672826671843942	0.539837630433253	0.681136694795046	0.955370421782444	0.965216452786273	0.0585932783808378	0.965172876492753	0.159036145383944	0.967533181624578	0.971283809667829	0.176865888723969	0.121339402428642	0.971283809667829	0.176865888723969	0.83345422316956	0.136253518776639	0.890092599232015	0.968405898386295	0.972302787865742	0.969401260265527
Site	1	1	1	1	0.364510308144447	0.3287541641075	0.15346559423829	0.604352765638011	0.0836996654048983	0.190042297971703	0.00363580245492679	0.136975087686425	0.110793265039671	0.135477832048095	0.263965952561809	0.272137442385606	0.012540192638279	0.272804035871075	0.0413114322396698	0.285939788128904	0.287499937397827	0.0414330440658241	0.0270627234334239	0.287499937397827	0.041433044065824	0.16447834048102	0.0389659695679956	0.144754914891904	0.254565063120174	0.390649764930281	0.355159112793184
Subspecies	1	1	1	1	0.109837615265173	0.11830001172385	0.00429422315197919	0.0297065410826046	0.0275780662592017	0.110230708198879	0.000282178461721824	0.0144057230188552	0.0114182499231558	0.0158326995417074	0.00137325487793431	0.0449244585811022	0.00254486536145712	0.0451106477539939	0.00985038596860457	0.0513939381259448	0.0515798159341934	0.0129274188437103	0.0096240272231922	0.0515798159341933	0.0129274188437103	0.0733690444548475	0.00890578021223947	0.0661513047520583	0.0881090811302087	0.113376035050269	0.109115028833402
Common name	1	1	1	1	0.109837615265173	0.11830001172385	0.00429422315197895	0.0297065410826046	0.0275780662592017	0.110230708198879	0.000282178461721818	0.0144057230188555	0.0114182499231561	0.0158326995417077	0.00137325487793431	0.0449244585811024	0.00254486536145712	0.0451106477539941	0.00985038596860454	0.051393938125945	0.0515798159341935	0.0129274188437103	0.0096240272231922	0.0515798159341934	0.0129274188437103	0.0733690444548476	0.00890578021223943	0.0661513047520591	0.088109081130209	0.113376035050269	0.109115028833402
Total DNA Concentration (ng/ul)	1	0.603746890794849	0.331417584423598	0.331417584423599	1	0.966946005356701	0.00892620572535204	0.0188312755249051	0.0410267814304659	0.114786249453006	-0.022870481594243	-0.00893896176172165	0.00300896827966743	-0.00866218763766319	-0.0337056226891618	0.0347091600476633	0.0685614915152793	0.034433413296003	0.091098959813239	0.0278218609650238	0.0305267285827094	0.0661890831734983	0.0599231389172529	0.0305267285827094	0.0661890831734983	-0.113472870425415	0.0500716649915048	0.168827695237106	0.184440954829897	0.127466181023594	0.124483057611168
Endogenous DNA (qPCR - pg/ul)	1	0.57337087832179	0.343947687481469	0.343947687481469	0.966946005356701	1	0.228414249276168	0.0174688214869279	0.00299111075272531	0.0766353125474892	0.00378024489161042	0.043112244366516	0.047168310594366	0.0418763153715556	-0.0403058739237614	0.110985807324002	0.075226261736482	0.110615542311713	0.0969056686075166	0.103900430843001	0.106390992474859	0.0751588661071641	0.0687729247548161	0.106390992474859	0.0751588661071641	-0.121799518237846	0.057102590735404	0.226594379490667	0.233872792602584	0.17791640101323	0.167246928819651
% Endogenous DNA	1	0.391746849685214	0.0655303223857413	0.0655303223857395	0.00892620572535204	0.228414249276168	1	-0.0732950631765181	0.16782766639014	0.875979365288905	0.127669340754087	0.242870233028551	0.20341914611067	0.236207367247828	-0.0126555974216883	0.325580875678234	0.0203110106663965	0.324770212948529	0.00856895195534074	0.312675083870931	0.312692383095754	0.0155890031418433	0.0135755144431383	0.312692383095754	0.0155890031418433	-0.122088687621105	0.0245990873033994	0.338574523573249	0.28623926353916	0.293669905834722	0.275921198783845
Average Fragment Size	1	0.777401289964206	0.17235585595681	0.17235585595681	0.0188312755249051	0.0174688214869279	-0.0732950631765181	1	0.0121982880154054	0.0831686901388843	-0.00349678161697574	0.0337450398978352	0.0297427388929454	0.0302284889481646	-0.111022038107249	0.0862335799170915	0.0762607038891459	0.0857724872250814	0.0943692769079328	0.0693441080309677	0.0669431007267109	0.0562785822225211	0.060074172332508	0.0669431007267109	0.0562785822225211	-0.220296485597054	0.0627098389815336	0.153597085248289	0.15885636061427	0.133906994215402	0.139010708324842
Sequencing Batch	0.168545547472305	0.0836996654048983	0.0275780662592017	0.0275780662592017	0.00168319679454322	8.94674353506895e-06	0.0281661256059602	0.000148798230506783	1	1	1	0.050264200330526	0.103728136627429	0.0485625278988311	0.009309085197157	0.0412485301383185	0.923418495952611	0.0412309161918092	0.783085747696969	0.0418994476067012	0.0362322265763502	0.76261729980378	0.830366803451756	0.0362322265763502	0.76261729980378	0.0522251855593655	0.822673995135681	0.0524024271509846	0.0303182188553303	0.00643354856459655	0.0100397819941012
Capture Pool	0.349369179421156	0.190042297971703	0.110230708198879	0.110230708198879	0.0131758830634876	0.00587297112925135	0.767339848411953	0.00691703101941775	1	1	1	0.568078137336235	0.576195902507989	0.533673987873659	0.054200771412076	0.230586014796388	0.939505055135091	0.229204125733842	0.843267889637425	0.204787767980839	0.19837888674749	0.822936559154928	0.871749327371719	0.19837888674749	0.822936559154928	0.164597394961193	0.88097248852755	0.277830551604985	0.20848339660954	0.0470249694287932	0.0825304726607052
