Rsq	Adj_Rsq	Fstat	etasq_fit0_Subspecies	etasq_fit0_Site	etasq_fit0_TotalDNAConcentration(ng/ul)	etasq_fit0_EndogenousDNA(qPCR-pg/ul)	etasq_fit0_%EndogenousDNA	etasq_fit0_AverageFragmentSize	etasq_fit0_Pool	etasq_fit0_StartingDNA(ug)	etasq_fit0_CapturePool	etasq_fit0_ProductionReads	etasq_fit0_Residuals	pval_fit0_Subspecies	pval_fit0_Site	pval_fit0_TotalDNAConcentration(ng/ul)	pval_fit0_EndogenousDNA(qPCR-pg/ul)	pval_fit0_%EndogenousDNA	pval_fit0_AverageFragmentSize	pval_fit0_Pool	pval_fit0_StartingDNA(ug)	pval_fit0_CapturePool	pval_fit0_ProductionReads	pval_fit0_Residuals	etasq_fit_ProductionReads	etasq_fit_SequencingBatch	etasq_fit_CapturePool	etasq_fit_AverageFragmentSize	etasq_fit_%EndogenousDNA	etasq_fit_EndogenousDNA(qPCR-pg/ul)	etasq_fit_TotalDNAConcentration(ng/ul)	etasq_fit_Site	etasq_fit_Residuals	pval_fit_ProductionReads	pval_fit_SequencingBatch	pval_fit_CapturePool	pval_fit_AverageFragmentSize	pval_fit_%EndogenousDNA	pval_fit_EndogenousDNA(qPCR-pg/ul)	pval_fit_TotalDNAConcentration(ng/ul)	pval_fit_Site	pval_fit_Residuals	eta_fit_T2_ProductionReads	eta_fit_T2_SequencingBatch	eta_fit_T2_CapturePool	eta_fit_T2_StartingDNA(ug)	eta_fit_T2_Pool	eta_fit_T2_AverageFragmentSize	eta_fit_T2_%EndogenousDNA	eta_fit_T2_EndogenousDNA(qPCR-pg/ul)	eta_fit_T2_TotalDNAConcentration(ng/ul)	eta_fit_T2_Site	eta_fit_T2_Subspecies	eta_fit_T2_Residuals	pval_fit_T2ProductionReads	pval_fit_T2SequencingBatch	pval_fit_T2CapturePool	pval_fit_T2StartingDNA(ug)	pval_fit_T2Pool	pval_fit_T2AverageFragmentSize	pval_fit_T2%EndogenousDNA	pval_fit_T2EndogenousDNA(qPCR-pg/ul)	pval_fit_T2TotalDNAConcentration(ng/ul)	pval_fit_T2Site	pval_fit_T2Subspecies	pval_fit_T2Residuals
Mapped Reads	0.758869604069474	0.7348935703832	31.6511735843915	0.00931327217190838	0.191412034513774	0.00206310770340064	0.16408651819841	1.09848610472623e-05	0.0206702279912549	0.0176532447300009	0.196407840144011	0.0243728189688434	0.132879554786823	0.241130395930526	0.00392245003597582	3.6125206668222e-39	0.0835404040516777	1.40028482809792e-41	0.899304162074912	7.58375013668812e-08	3.97616861055889e-06	1.81268460603327e-47	0.00176307242574402	1.994267351383e-35	NA	0.561334235199831	0.0459663682382949	0.0714013466701707	0.00105161443740949	0.000110650285259334	0.000722508022227347	0.00408610506075504	0.0741967761555253	0.241130395930526	6.35072783154065e-94	4.60642964043395e-14	2.79585883914159e-13	0.216168577103585	0.687999074591507	0.305129846530559	0.0150851121048491	1.04289911737633e-14	NA	0.279739870903139	NA	0.0968937878314487	NA	NA	0.00607152575565023	0.00108004605302984	0.0101252670709211	0.0091432119096613	0.0893152562162623	NA	0.507631034259888	1.9942673513836e-35	NA	1.92091105533022e-08	NA	NA	0.0409233477042918	0.387407063427618	0.00841912911017908	0.0122471630657	9.90003214359975e-09	NA	NA
Percentage Mapped Reads	0.507889416805616	0.458957966772083	10.3796109957412	0.0186138511013556	0.145970149608537	0.0115411120439525	0.022252455520299	0.0246906112729995	0.00277465590701961	0.0821437812179232	0.00674391010890753	0.0934282276472293	0.0997306623773918	0.492110583194384	0.00445200264766235	1.74777100494465e-15	0.00431009311911763	8.05436379177007e-05	3.3506966272373e-05	0.159781628809204	1.58737108787045e-12	0.0287206514384611	4.78525638889993e-08	8.01876369423251e-16	NA	0.0197332994845641	0.0748525972474521	0.173177289057742	0.0157518286823571	0.0159847084847007	0.046388779484235	0.0192907144362915	0.142710199928273	0.492110583194384	0.00020121263148164	1.50446267848709e-11	3.83712286376052e-16	0.000875087049587327	0.00080228131883225	1.83241778193729e-08	0.000236581763618993	8.99881733093743e-14	NA	0.120871700921942	NA	0.104769075307289	NA	NA	0.000378112483131027	0.0143525254820884	0.0107737775952945	0.0172024781366016	0.13522349049264	NA	0.596428839581014	8.01876369423155e-16	NA	1.27463103797282e-07	NA	NA	0.636939759646127	0.0038390955193207	0.0121230546921479	0.00156989876099648	1.3131287513944e-11	NA	NA
Unique Reads	0.715479272159082	0.687188858879445	25.2905203288097	0.0136594195721417	0.200142355357015	0.00186763658573974	0.228233236578344	0.00185515071589592	0.0162861504478901	0.0203356937386849	0.0228934198408518	0.0680714685681213	0.142134740754397	0.284520727840919	0.000883112218210279	2.45801431234218e-35	0.129393749193499	6.06273701225473e-47	0.130677473903572	9.72106106815345e-06	5.28770439494501e-06	1.8319576383724e-07	1.12098078498207e-10	7.8535716554981e-33	NA	0.358296910647001	0.154301436403165	0.126133671308971	0.000134379052961904	5.45221547930436e-07	0.000714384390895137	0.00381408788563323	0.0720838572489068	0.284520727840918	2.85044049509874e-64	7.60786250368791e-34	1.09664578214703e-20	0.683714616051814	0.979294604265139	0.347803949725777	0.0305037686923973	8.13356694728419e-12	NA	0.248066014605988	NA	0.138609888282633	NA	NA	0.00162544249289721	0.00314748679937965	0.00886577815953066	0.00789162651438734	0.0952232368003881	NA	0.496570526344796	7.85357165549944e-33	NA	3.39980876101269e-13	NA	NA	0.283821363071813	0.136150371460241	0.0126290793385523	0.0185630090206551	1.24704742935647e-09	NA	NA
Percentage Unique Reads	0.826896606537375	0.809684621391944	48.0419079815938	0.0174574302142209	0.0631518172026536	0.00149986554458266	0.0055926881233216	0.00233898374414088	0.00850465226100961	0.0247637740013807	0.615070244024363	0.0812544247346693	0.00726272668703359	0.173103393462624	2.11186154321014e-07	3.87515612179097e-19	0.0816130841559789	0.000828242884392613	0.0298536411836769	4.02693415269284e-05	6.02566131034281e-11	6.57947809379912e-118	2.03661818747777e-22	0.000144187118333951	NA	0.214661047358975	0.454076572558286	0.0854218287035312	0.00587810192672888	0.00217887514240813	0.00196962914943493	0.00270805579643708	0.0600024959015741	0.173103393462625	1.28706861147545e-63	3.98803708143745e-99	4.27970643591366e-23	0.000612426110584355	0.0360069810736426	0.0461280281868222	0.0194971613266553	9.67275053140217e-17	NA	0.0255954428975937	NA	0.18183864710288	NA	NA	0.0111023419097089	0.00147319742219266	0.0065496704997432	0.00497760052373878	0.158408747652257	NA	0.610054351991886	0.000144187118333989	NA	3.36238880844455e-14	NA	NA	0.011808248277182	0.357174873154996	0.0526916514339703	0.0910136174466946	1.89118469787395e-13	NA	NA
Reliable Reads	0.715316880042225	0.687010319819151	25.2703569209773	0.0133886479251081	0.20045516883094	0.00186396251399126	0.228075341451189	0.00178669285211327	0.0160864040532763	0.0203057017297211	0.0231118282222021	0.0676308225557592	0.142612309907925	0.284683119957775	0.00103181877976855	2.29238297679435e-35	0.129879145406094	6.69518328316611e-47	0.138086799571252	1.10470292073475e-05	5.41616479809947e-06	1.62266426532507e-07	1.37774558391444e-10	6.66378282709522e-33	NA	0.357816663450788	0.154692146219539	0.126350012042778	0.00011201885458968	1.39291373775275e-07	0.000690799321483616	0.00395291629373071	0.0717021845679431	0.284683119957775	3.43963611077754e-64	6.73900212872651e-34	1.036120667188e-20	0.709993632893122	0.989536627257432	0.356014797928982	0.027692198245071	9.77321808942127e-12	NA	0.248634133114361	NA	0.138331751963731	NA	NA	0.00154110532223785	0.00320276390866034	0.0089094658974932	0.00794291030949749	0.0951136686580704	NA	0.496324200825948	6.66378282709598e-33	NA	3.58031088528651e-13	NA	NA	0.296530756301292	0.13267393336199	0.0123927400333554	0.0181594684809229	1.26770619846298e-09	NA	NA
Percentage Reliable Reads	0.794625420461568	0.774204652609735	38.9126122106252	0.0174681798781443	0.0724758653467602	0.00135214183598398	0.00567429635933081	0.00201301873227202	0.00714149752081697	0.0249985322188766	0.573496219525078	0.0818382233508279	0.00816744569347797	0.205374579538432	2.4974868305014e-06	1.65023052833946e-18	0.128823963625563	0.00196719347284371	0.0640792129477173	0.000527720034924564	1.66043614994223e-09	6.37811283321326e-104	6.27754611201793e-19	0.000213552269595707	NA	0.203568414595339	0.418714833450898	0.0858088039245609	0.00797604902967807	0.00355894233060942	0.00293246576297542	0.00207889491115502	0.0699870164563519	0.205374579538432	1.36199787143644e-54	1.10860663817505e-85	1.94165692592075e-19	0.000252602063491872	0.0139932273976667	0.0255908356787427	0.059899565939911	1.94450322951042e-16	NA	0.0249178834587608	NA	0.158578308653053	NA	NA	0.00722802678025263	0.000829139309325429	0.00442679542153142	0.00335567155034484	0.174091310997671	NA	0.626572863829061	0.000213552269595762	NA	8.40288034951339e-12	NA	NA	0.0446545682036167	0.495375066878548	0.11569496438607	0.170621714118546	1.86793370105749e-14	NA	NA
OnTarget Reliable Reads	0.684613491602584	0.653254037642614	21.8311674838624	0.0116570499612111	0.196681015589953	0.00137956833900487	0.219242384336924	0.000871595879787316	0.0091785256453374	0.0180428628135924	0.0283060856718456	0.0506412979343224	0.148613105430606	0.315386508397416	0.00510460244341062	8.60439283419373e-32	0.21548530551461	3.01534886665381e-42	0.324665239306722	0.00149599963440769	5.59383123092638e-05	3.87441512254393e-08	1.69435268617342e-06	2.30309180179214e-31	NA	0.332725226434924	0.154607465611241	0.130876120368526	6.16983631546038e-05	3.32750554571582e-05	0.000460337348252881	0.00480201675973832	0.0610473516612904	0.315386508397416	5.22390072757474e-57	3.22214124587676e-31	2.6815703594063e-19	0.793155975862175	0.847295519238633	0.473983131216301	0.0211844449117251	1.37418350256868e-08	NA	0.245743892718157	NA	0.131073766575	NA	NA	3.99084657098522e-06	0.00316748668967151	0.00839766456651803	0.00793403112346061	0.0821618486694698	NA	0.521517318811152	2.3030918017924e-31	NA	1.04419028186966e-11	NA	NA	0.958637612032702	0.144590064494563	0.0178082654265234	0.021236945541557	1.10560195562056e-07	NA	NA
OnTarget Reliable Bases	0.681564626223122	0.64990201803508	21.5258522663503	0.0118481824967523	0.198375648799861	0.00136129050784111	0.219130388059058	0.000834909987645784	0.008997068170462	0.0168382743418404	0.0227338368159148	0.0510001590056711	0.150444868038076	0.318435373776878	0.0049092562139061	9.20845218523424e-32	0.220757671822431	6.26971793709308e-42	0.337370565881082	0.00175119645097608	0.000115199848198732	8.5077510300413e-07	1.78057625942552e-06	1.98377793488349e-31	NA	0.340147951107668	0.142431013552366	0.132619666450705	9.5608192785125e-05	7.65994719420369e-05	0.000416058024871546	0.00508139884364171	0.0606963305791428	0.318435373776878	1.68636644512673e-57	5.5276908310858e-29	2.26121500320874e-19	0.745303472722414	0.771232651747215	0.498110403894446	0.0183255435890157	1.98571623040938e-08	NA	0.246584744302653	NA	0.131941465279288	NA	NA	3.53254654772573e-06	0.00269537121589108	0.00829904573023825	0.00788301293452879	0.0806653854421443	NA	0.521927442548709	1.98377793488332e-31	NA	8.71158283076747e-12	NA	NA	0.961098269745009	0.17843978442007	0.0185318114613142	0.0217052745210288	1.63621925200595e-07	NA	NA
Percentage OnTarget Reliable Reads	0.759627961224813	0.735727332369326	31.7827604377201	0.0234509494448361	0.0591782257248569	0.00181071061794618	0.00481600742378807	0.00153152968899615	0.0144017155888492	0.0212224810049319	0.563598145406477	0.0640299643071507	0.00558823201698191	0.240372038775186	3.52517507941336e-07	1.0634833557674e-12	0.104340473504253	0.00827519707896377	0.13513674302268	6.11055787129013e-06	3.41140878216787e-07	2.62010398229578e-94	4.08303241767033e-12	0.00447996512474939	NA	0.184226423294497	0.410552754524104	0.0786072002949786	0.00275351440864339	0.00559995432100054	0.00153730133707247	0.0011542715198525	0.0751965415246658	0.240372038775187	2.08670252319161e-45	7.14745524682178e-77	7.13151151201824e-15	0.0454023443394181	0.00443874541259166	0.13440560255824	0.194410590168578	5.60214674084257e-15	NA	0.0156504422084121	NA	0.116962562156677	NA	NA	0.0195552106083791	0.00160163605964662	0.00444111067633897	0.00297825313670421	0.165623149075497	NA	0.673187636078345	0.00447996512475006	NA	1.6170093019103e-07	NA	NA	0.00151099196858071	0.360747209426805	0.128438076694083	0.21289265824542	1.08644023132244e-12	NA	NA
Percentage OnTarget Reliable Bases	0.831029491437117	0.814228446551603	49.4629647798658	0.0126392788783904	0.0447010434822477	0.00109162265570287	0.00150788677858813	0.000722868454084861	0.00661387489662248	0.0181911834851427	0.559715667260874	0.184050486305236	0.00179557924022794	0.168970508562882	1.2566099235839e-05	1.01334344232489e-13	0.132450782915227	0.07720087248847	0.220588583717506	0.000239058371606375	1.52944871203883e-08	9.3942962361428e-114	4.62632022440916e-48	0.0539080036344617	NA	0.124598006337239	0.594469304195662	0.0560334679211372	0.00265049204023581	0.00498786714201428	0.001155785005945	0.000320330896756361	0.0468142378981275	0.168970508562883	3.89640340225069e-44	5.32543164472182e-116	4.14890253642136e-15	0.01933577123515	0.00138487173293209	0.121635492860231	0.414541976441858	4.38720023882322e-13	NA	0.0075507093077896	NA	0.0939910760233386	NA	NA	0.0116365252687944	0.000999396978294662	0.0025421737718735	0.00159409072812504	0.171136939825938	NA	0.710549088095846	0.0539080036344707	NA	2.63013032153009e-05	NA	NA	0.0168701086615694	0.482129440021344	0.262535018510341	0.374797997432077	2.11544031283043e-12	NA	NA
