Rsq	Adj_Rsq	Fstat	pval
Extract ID	0.853810398370533	0.827514098077428	32.4688412002351	1.16292245685946e-105
Site	0.165963771584844	0.136973207495548	5.72475137336556	1.30457027453658e-09
Subspecies	0.0760165802144705	0.0687979597473961	10.5306243154349	1.13765881200433e-06
Total DNA Concentration (ng/ul)	0.0281460619057961	0.0256283055894898	11.1790254376519	0.00090818702075429
Endogenous DNA (qPCR - pg/ul)	0.0693981889067087	0.0669873033857415	28.7853522297778	1.39709275468281e-07
% Endogenous DNA	0.134250644799437	0.132007770822234	59.8565261195925	8.9981917714462e-14
Average Fragment Size	0.0396334445153767	0.0371454482576445	15.9298650036969	7.86781497956219e-05
Sequencing Batch	0.0873985798735917	0.0826577932755325	18.4354596153664	2.26005755573978e-08
Pool	0.1365391527603	0.132053641865548	30.4400448386066	5.32978963909408e-13
Capture Pool	0.212691357529255	0.176517717199518	5.87973329724323	5.54343347055341e-12
Starting DNA  (ug)	0.0676661017472673	0.0652507289538664	28.0147652288461	2.0240532180274e-07
Production Reads	0.189910229812895	0.187811551651788	90.490401688255	2.04803709853957e-19
