Rsq	Adj_Rsq	Fstat	pval
Extract ID	0.785279901009028	0.746656468568579	20.3316963664428	2.62248881583008e-79
Site	0.193069647151894	0.165021265903163	6.88345061484178	6.05221732349571e-12
Subspecies	0.101406048710464	0.0943857834660143	14.444760301705	6.19188634910781e-09
Total DNA Concentration (ng/ul)	0.00221046849335884	-0.000374478479456375	0.855131078743768	0.355682555874502
Endogenous DNA (qPCR - pg/ul)	0.00237568020376482	-0.00020883875943789	0.919196275047224	0.33828621812754
% Endogenous DNA	0.0204167873360402	0.0178790069923512	8.04513573714642	0.00480301910454589
Average Fragment Size	0.0299034777946079	0.0273902743692053	11.8985504684397	0.000623754569949287
Sequencing Batch	0.0808414668632524	0.0760666173404642	16.9306836744134	8.96719268666062e-08
Capture Pool	0.251206132685765	0.216802090133489	7.30164579653878	1.74644901038449e-15
Starting DNA  (ug)	0.0104833577905938	0.00791984317347105	4.08944724581282	0.0438409965102966
Production Reads	0.0124981126136445	0.00993981756860218	4.88532885910252	0.0276718788163639
