Rsq	Adj_Rsq	Fstat	pval
Extract ID	0.913945130444428	0.898465748420712	59.0427401458394	1.44191309371172e-142
Site	0.210223831296613	0.18277171848072	7.65783794881194	1.71546897087099e-13
Subspecies	0.0118481824967523	0.0041282464225082	1.53475137395	0.205021106727517
Total DNA Concentration (ng/ul)	0.00323546830702488	0.000653176774141562	1.25294462914968	0.263686857792228
Endogenous DNA (qPCR - pg/ul)	0.0328425713470906	0.0303369821536892	13.107723897271	0.000333277955405818
% Endogenous DNA	0.149816880145761	0.147614333203134	68.0198352399403	2.57250924945805e-15
Average Fragment Size	0.0046927782088339	0.00211426209020382	1.81995302450438	0.178109694073436
Sequencing Batch	0.0724899146717383	0.0676716804622409	15.0449130365747	5.11491383935174e-07
Capture Pool	0.232443342132203	0.197177225419358	6.59112382644449	9.63576718247884e-14
Starting DNA  (ug)	0.0518123403191407	0.0493558956049416	21.0924105149394	5.9325758034171e-06
Production Reads	0.340120556078439	0.3384110238403	198.955333213688	9.93278795386785e-37
