Rsq	Adj_Rsq	Fstat	pval
Extract ID	0.378451430890208	0.266648487056435	3.3849862795463	1.61386687069128e-12
Site	0.0826291751696934	0.0507419539857523	2.59129432110273	0.00187395368862777
Subspecies	0.0234509494448359	0.0158216599873736	3.07380517879007	0.0276835532799745
Total DNA Concentration (ng/ul)	0.00113554444715247	-0.00145218730298446	0.438818454460123	0.508088608074955
Endogenous DNA (qPCR - pg/ul)	0.000457129669020324	-0.00213235963235525	0.176532750599698	0.674603812481273
% Endogenous DNA	0.00153877132420886	-0.00104791579671293	0.594881117149002	0.441009681380349
Average Fragment Size	0.00548033537271683	0.00290385955762029	2.12706649160275	0.145530663805168
Sequencing Batch	0.513414719384481	0.510887003641024	203.114104389866	5.99930844132554e-61
Pool	0.0454588349850665	0.0405001795823916	9.16757291917149	0.000128965185872622
Capture Pool	0.671084604404934	0.655972275418134	44.4064316619288	1.99718083394609e-78
Starting DNA  (ug)	0.51012493755581	0.508855831176421	401.956010812402	8.70818301148488e-62
Production Reads	0.184226423294496	0.182113020246037	87.1705108160754	8.01318959695659e-19
