Rsq	Adj_Rsq	Fstat	pval
Extract ID	0.307981548304423	0.183502619493328	2.4741661198885	2.3521846856151e-07
Site	0.0906188986972425	0.0590093951760238	2.86682448638941	0.000584246081727045
Subspecies	0.0179856801636813	0.01031369328996	2.34433145672961	0.0725889099099713
Total DNA Concentration (ng/ul)	0.000919988997646611	-0.00166830118629746	0.35544275651688	0.551397619654053
Endogenous DNA (qPCR - pg/ul)	7.31360695036866e-05	-0.00251734803394332	0.0282325876489156	0.866651174149769
% Endogenous DNA	0.00211004218128064	-0.000475164963327446	0.816198495227554	0.366857438798818
Average Fragment Size	0.00741189918673584	0.00484042742297086	2.88235682428181	0.0903608299859719
Sequencing Batch	0.572086154118466	0.569863225048951	257.35690893791	1.08666396840004e-71
Capture Pool	0.767679278339495	0.757005083019958	71.9191709874775	6.32132021054165e-106
Starting DNA  (ug)	0.558704473975052	0.557561221316956	488.697288406631	1.46788695257902e-70
Production Reads	0.253701360810545	0.251767944646841	131.219219934836	2.37198723486494e-26
