Rsq	Adj_Rsq	Fstat	pval
Extract ID	0.765951908368902	0.723851794325504	18.1935827437267	1.78525075308915e-73
Site	0.200725306685683	0.172943031249624	7.22494120928476	1.25291244988725e-12
Subspecies	0.0093132721719083	0.00157353211075129	1.2033055500983	0.308307078424121
Total DNA Concentration (ng/ul)	0.000674856505626252	-0.00191406873658706	0.26067052637228	0.609951718476488
Endogenous DNA (qPCR - pg/ul)	0.016986650821541	0.0144399841138247	6.67015073863912	0.0101714111316658
% Endogenous DNA	0.104518985714167	0.102199086713427	45.0532483012431	6.8633527674895e-11
Average Fragment Size	0.000332394645185532	-0.0022574178039203	0.128346994895444	0.720347965688925
Sequencing Batch	0.142036162679987	0.137579207680922	31.8684309601027	1.55875989108619e-13
Pool	0.155884903311577	0.151499889822286	35.5494695038667	6.79705839035554e-15
Capture Pool	0.369900598158624	0.340950085101048	12.7769962978883	4.09511748738544e-28
Starting DNA  (ug)	0.133518100891578	0.13127332913223	59.4795886644369	1.06216837488914e-13
Production Reads	0.561334235199832	0.56019779539465	493.941018820651	4.62057616185032e-71
