Rsq	Adj_Rsq	Fstat	pval
Extract ID	0.913945130444428	0.898465748420712	59.0427401458394	1.44191309371172e-142
Site	0.210223831296613	0.18277171848072	7.65783794881194	1.71546897087099e-13
Subspecies	0.0118481824967523	0.0041282464225082	1.53475137395	0.205021106727517
Total DNA Concentration (ng/ul)	0.00323485432436433	0.000652561200852331	1.25270609092	0.263732244724657
Endogenous DNA (qPCR - pg/ul)	0.03284171137734	0.0303361199560377	13.1073690219897	0.000333339005166677
% Endogenous DNA	0.149816880145761	0.147614333203134	68.0198352399403	2.57250924945805e-15
Average Fragment Size	0.00468875727661933	0.00211023074106653	1.81838628068031	0.178296147126821
Sequencing Batch	0.0724899146717383	0.0676716804622409	15.0449130365747	5.11491383935174e-07
Pool	0.155798015951872	0.151412551099674	35.5259980874738	6.93307560853349e-15
Capture Pool	0.232443342132203	0.197177225419358	6.59112382644449	9.63576718247884e-14
Starting DNA  (ug)	0.0518123403191407	0.0493558956049416	21.0924105149394	5.9325758034171e-06
Production Reads	0.340120556078439	0.3384110238403	198.955333213688	9.93278795386785e-37
