Rsq	Adj_Rsq	Fstat	pval
Extract ID	0.909131912898752	0.892786738694565	55.6208151434581	9.33935702350075e-139
Site	0.208338065551164	0.180820404728077	7.57106742795392	2.5534547703341e-13
Subspecies	0.0116570499612111	0.00393562066403319	1.50970105566743	0.211537565576216
Total DNA Concentration (ng/ul)	0.00318002201275851	0.000597586836625696	1.23140438999157	0.267824931394044
Endogenous DNA (qPCR - pg/ul)	0.0325808916299109	0.0300746245097812	12.999768208356	0.000352382401026612
% Endogenous DNA	0.150518009414084	0.148317278868524	68.394565485447	2.18888700592831e-15
Average Fragment Size	0.00492116993412603	0.00234324550390352	1.90896594036364	0.167877315695635
Sequencing Batch	0.0808556855101406	0.076080909850453	16.9339234495953	8.94052950508095e-08
Pool	0.157959386671555	0.153585149719199	36.1113008719138	4.23262692288309e-15
Capture Pool	0.239955998870976	0.205035058278561	6.8714070927144	1.97077232542758e-14
Starting DNA  (ug)	0.0598918450525625	0.0574563316977764	24.5910558999264	1.06395226039838e-06
Production Reads	0.332725226434925	0.330996535311699	192.472340468833	8.6280766599229e-36
