Rsq	Adj_Rsq	Fstat	pval
Extract ID	0.848192056680663	0.820885140047002	31.0614364873073	4.6819554393909e-103
Site	0.164584000709893	0.135545476670398	5.66778120286143	1.70008494618686e-09
Subspecies	0.0186138511013556	0.0109467718130849	2.42776295920555	0.0650776851823565
Total DNA Concentration (ng/ul)	0.0143722330115327	0.0118187932006817	5.62857716499023	0.0181593639809534
Endogenous DNA (qPCR - pg/ul)	0.00658749163959153	0.00401388410497905	2.55963333608421	0.110442129828717
% Endogenous DNA	0.00104882145986905	-0.00153913496121927	0.405270139528837	0.524757341826663
Average Fragment Size	0.00420141499255733	0.00162162591222714	1.62858856353467	0.202665704920124
Sequencing Batch	0.0754176611431514	0.0706146360062327	15.7021166854718	2.78308665354398e-07
Pool	0.0270521017803114	0.0219978269843649	5.3523211286429	0.00509618241605586
Capture Pool	0.123653930560728	0.0833893814243292	3.07103725765913	4.51619440230032e-05
Starting DNA  (ug)	0.00906880452856325	0.00650162526568387	3.53259496120719	0.0609266214467372
Production Reads	0.0197332994845641	0.0171937484469594	7.77038901457798	0.00557350932004658
