Rsq	Adj_Rsq	Fstat	pval
Extract ID	0.260344425611836	0.127296624121282	1.95677360087998	0.000127436236437124
Site	0.0573403223606386	0.0245740768811956	1.74998146786799	0.0493705796360842
Subspecies	0.0126392788783901	0.00492552324462758	1.63853763049854	0.179973043087793
Total DNA Concentration (ng/ul)	0.000774797961397646	-0.0018138683651272	0.299303913161247	0.584635277635728
Endogenous DNA (qPCR - pg/ul)	0.000585331523120113	-0.00200382564909973	0.226070293993879	0.634722028741426
% Endogenous DNA	0.000293317503923537	-0.00229659618129952	0.113253775829322	0.736652617366402
Average Fragment Size	0.00562656331435421	0.00305046632812189	2.18414265628389	0.140254160859604
Sequencing Batch	0.668005582424524	0.666280936099456	387.329026661982	6.57166441641993e-93
Capture Pool	0.774853848460378	0.764509295551801	74.9045275623178	2.04438094684795e-108
Starting DNA  (ug)	0.516402945992827	0.515150103884	412.185176691077	7.18079558161764e-63
Production Reads	0.124598006337239	0.122330125524641	54.9402797735713	7.92729523715474e-13
