Rsq	Adj_Rsq	Fstat	pval
Extract ID	0.349696292355334	0.232720930309495	2.98948672813937	2.97307973983973e-10
Site	0.0899440452249049	0.0583110842300487	2.84336471819791	0.000646005207389791
Subspecies	0.0174681798781441	0.00979215003344214	2.27567899442192	0.079396033669595
Total DNA Concentration (ng/ul)	0.00146876837686526	-0.00111810009884228	0.567778528617888	0.451602378758799
Endogenous DNA (qPCR - pg/ul)	0.000464872768879268	-0.00212459647265217	0.17952434476663	0.672018331510621
% Endogenous DNA	0.00198990860073249	-0.000595609770768224	0.769636225627554	0.380875294630713
Average Fragment Size	0.0116470536492233	0.00908655378821099	4.5487421524867	0.0335733474465964
Sequencing Batch	0.52728794590926	0.524832298875022	214.724648354426	2.290130874473e-63
Capture Pool	0.702797957440349	0.689142728457878	51.4673139749283	2.01199509685054e-86
Starting DNA  (ug)	0.519454232063145	0.51820929484051	417.253354320917	2.11042610022841e-63
Production Reads	0.20356841459534	0.201505120332633	98.6618429929253	7.43688665527043e-21
