Rsq	Adj_Rsq	Fstat	pval
Extract ID	0.308340665572055	0.183926334074345	2.47833719685044	2.23097694801671e-07
Site	0.0806092474168748	0.0486518148404561	2.52239435142721	0.00249415193603149
Subspecies	0.0174574302142207	0.00978131638776925	2.27425369254732	0.0795437282676897
Total DNA Concentration (ng/ul)	0.000748957167171891	-0.00183977610441577	0.289314150434882	0.590970353021548
Endogenous DNA (qPCR - pg/ul)	0.000113671482403989	-0.00247670760701979	0.0438821803604323	0.834183482353995
% Endogenous DNA	0.00149385992720547	-0.00109294354448575	0.577492624992045	0.447760692746355
Average Fragment Size	0.00909855429220584	0.00653145210125305	3.54428987060648	0.0605026109854117
Sequencing Batch	0.56993706146326	0.567702968276057	255.108902675893	2.85045030024143e-71
Pool	0.052186250628718	0.0472625428397764	10.598973957375	3.30505247144317e-05
Capture Pool	0.747471451727496	0.735868788698759	64.4224045700723	2.60441402090555e-99
Starting DNA  (ug)	0.561881732359698	0.56074671094094	495.040642470786	3.62916773697557e-71
Production Reads	0.214661047358976	0.212626490486849	105.507518762334	4.83629837569707e-22
