Rsq	Adj_Rsq	Fstat	pval
Extract ID	0.892307588603907	0.872936087773513	46.0629042848265	6.91176220084784e-127
Site	0.213843816756048	0.18651753231174	7.82557237855977	7.96103633168667e-14
Subspecies	0.0133886479251082	0.00568074673702312	1.73700305678599	0.158897963872834
Total DNA Concentration (ng/ul)	0.0030654086294941	0.000482676527498005	1.18688602163767	0.276638254822194
Endogenous DNA (qPCR - pg/ul)	0.03261770159164	0.0301115298341054	13.0149505889121	0.000349629989344146
% Endogenous DNA	0.161193698386382	0.159020625066139	74.1777540982331	1.84397093399638e-16
Average Fragment Size	0.007395235566075	0.0048237206323084	2.87582835664997	0.0907250233295766
Sequencing Batch	0.0832684155872362	0.0785061735902868	17.485128987686	5.39041791637838e-08
Capture Pool	0.269701755789213	0.236147512136285	8.03778379208611	2.87665632927696e-17
Starting DNA  (ug)	0.0540256896575959	0.0515749790090404	22.0449075411823	3.70684081794228e-06
Production Reads	0.357816663450788	0.356152976050401	215.074456516079	5.10201570021072e-39
