Rsq	Adj_Rsq	Fstat	pval
Extract ID	0.892129005585688	0.872725381590431	45.9774424511495	9.01861345791862e-127
Site	0.213801774929157	0.186474029137925	7.82361547719574	8.03258647677124e-14
Subspecies	0.0136594195721418	0.0059536337875491	1.77261864707596	0.1518678584106
Total DNA Concentration (ng/ul)	0.00308937868495895	0.000506708681552115	1.19619567381187	0.274765421617464
Endogenous DNA (qPCR - pg/ul)	0.0326801444652901	0.0301741344768582	13.0407079844639	0.000345010169085486
% Endogenous DNA	0.161987415872736	0.159816398815412	74.6136080903776	1.53238749356446e-16
Average Fragment Size	0.00753170070261886	0.00496053930547535	2.92929907511309	0.0877885385934866
Sequencing Batch	0.0829662226089129	0.0782024107783099	17.415931938355	5.74349834455455e-08
Capture Pool	0.270859321047266	0.237358262825113	8.08509746919456	2.21353331067396e-17
Starting DNA  (ug)	0.0537719168515356	0.0513205487604774	21.9354722971545	3.91226332443134e-06
Production Reads	0.358296910647001	0.356634467410335	215.524297458482	4.41314836837348e-39
